103.129.94.77:17777      # PT. Eka Mas Republik (ID)
35.219.15.90             # Google LLC (ID)
101.50.0.114:8443        # PT. Beon Intermedia (ID)
104.99.183.32            # PT Telekomunikasi Indonesia (ID)
103.133.223.51:2096      # PT Cloud Teknologi Nusantara (ID)
34.34.217.201            # Google LLC (ID)
101.50.0.114:2053        # PT. Beon Intermedia (ID)
203.194.112.119:8443     # CV. Rumahweb Indonesia (ID)
203.194.112.119:2053     # CV. Rumahweb Indonesia (ID)
172.232.238.169          # Akamai Connected Cloud (ID)
172.232.238.169:587      # Akamai Connected Cloud (ID)
52.74.101.26             # Amazon.com, Inc. (SG)
23.194.124.32            # Akamai International B.V. (MY)
23.62.148.32             # Akamai International B.V. (SG)
18.142.183.94            # Amazon.com, Inc. (SG)
89.34.227.166            #
64.49.14.239             #
125.56.198.32            #
104.99.183.32            #
35.219.15.90             #
139.99.66.76             #
8.209.217.106            #
210.186.12.244           #
219.111.17.202           #
103.106.228.69           #
82.153.65.177             #
45.76.198.248             #
13.88.29.102             #
38.58.180.38             #
23.94.5.177             #
5.8.63.23             #
34.34.217.201             #
103.75.188.126             #
45.77.36.40             #
43.134.34.18             #
103.180.193.56             #
84.247.146.84             #
172.104.191.203             #
172.232.238.169             #
5.223.41.89             #
164.52.2.100             #
51.79.254.182             #
104.248.145.216             #
185.217.5.3             #
103.40.11.97             #
129.150.50.63             #
185.114.78.230             #
194.36.179.237             #
